#Tool		Class	Type	SD_len	SD_BP
AS-GENSENG	S	DEL	916	494
AS-GENSENG	M	DEL	916	494	
AS-GENSENG	S	DUP	486	328
AS-GENSENG	M	DUP	486	328	
AS-GENSENG	L	DUP	10773	5909
Basil		All	INS	0	15
BICseq2		S	DEL	50	48
BICseq2		M	DEL	1514	1194
BICseq2		L	DEL	16045	14893
BICseq2		S	DUP	33	73
BICseq2		M	DUP	1236	546
BICseq2		L	DUP	11172	8541
BreakDancer	S	DEL	73	68
BreakDancer	M	DEL	52	136
BreakDancer	S	INV	272	410
BreakDancer	M	INV	583	493
BreakDancer	A	INS	0	28
BreakDancer	T	TRA	538	455
BreakSeek	S	DEL	2	2
BreakSeek	M	DEL	2	2
BreakSeek	A	INS	0	42
BreakSeq2	S	DEL	1	4
BreakSeq2	M	DEL	3	7
Breakway	S	DEL	392	27
Breakway	M	DEL	392	27
Breakway	A	INS	0	225
CLEVER		S	DEL	23	16
CLEVER		M	DEL	25	16
CNVnator	S	DEL	477	296
CNVnator	M	DEL	477	296
CNVnator	S	DUP	537	368
CNVnator	M	DUP	537	368
CNVnator	L	DUP	2023	799
Control-FREEC	S	DEL	24967	13348
Control-FREEC	M	DEL	24967	13348
Control-FREEC	S	DUP	8278	7223
Control-FREEC	M	DUP	8278	7223
Control-FREEC	L	DUP	29790	16109
CREST		S	DEL	2	0
CREST		M	DEL	3	1
CREST		S	INV	2	0
CREST		M	INV	2	0
CREST		T	TRA	3	1
Delly		S	DEL	19	14
Delly		M	DEL	5	3
Delly		S	DUP	2	1
Delly		M	DUP	2	1
Delly		L	DUP	3	1
Delly		S	INV	60	35
Delly		M	INV	271	219
Delly		T	TRA	58	4
DWAC-SEQ	S	DEL	4338	2569
DWAC-SEQ	M	DEL	9351	4260
DWAC-SEQ	S	DUP	10300	5695
DWAC-SEQ	M	DUP	10300	5695
DWAC-SEQ	L	DUP	12213	6576
ERDS		S	DEL	17	12
ERDS		M	DEL	63	128
ERDS		S	DUP	2941	2222
ERDS		M	DUP	2941	2222
ERDS		L	DUP	12414	8482
FermiKit	S	DEL	3	2
FermiKit	M	DEL	6	7
FermiKit	A	INS	0	1
forestSV	S	DEL	105	57
forestSV	M	DEL	474	193
forestSV	S	DUP	87	61
forestSV	M	DUP	648	357
forestSV	L	DUP	936	707
GASV		S	DEL	31	89
GASV		M	DEL	47	122
GASV		S	INV	29	80
GASV		M	INV	40	96
GenomeStrip	S	DEL	109	64
GenomeStrip	M	DEL	32	21
GRIDSS		S	DEL	22	14
GRIDSS		M	DEL	54	13
GRIDSS		L	DEL	31	3
GRIDSS		S	DUP	19	15
GRIDSS		M	DUP	26	15
GRIDSS		L	DUP	21	13
GRIDSS		A	INS	0	1
GRIDSS		S	INV	30	30
GRIDSS		M	INV	30	30
Hydra		S	DEL	550	354
Hydra		M	DEL	550	354
iCopyDAV	M	DEL	2053	1210
iCopyDAV	L	DEL	5523	3183
iCopyDAV	M	DUP	2068	1357
iCopyDAV	L	DUP	10271	4701
indelMINER	S	DEL	50	37
indelMINER	M	DEL	108	165
inGAP		S	DEL	14	5
